uniqueIdentifier,investorAlertCategoryMandatory,nameMandatory,addresses,websites,emails,phones,otherInformationGeneral,otherInformationAliases,otherInformationSocialAccount,dateAdded,dateUpdated,otherInformationAccounts,realCompany
814,Unlicensed (Legacy),One Capital Corporation,['PWC Building Telok Ayer Street Singapore 048424.'],['www.onecapitalcorp.com'],"['info@onecapitalcorp.com ', 'accounts@onecapitalcorp.com ', 'contact@onecapitalcorp.com']","['65 65059594 ', 'fax 65 64916562']",Possibly linked to known entity Asean Commodities Inc.,"['One Capital Corp', 'One Capital Inc', 'One Capital Corp Limited']",,,2019-08-23,[],[]
815,Unlicensed (Legacy),One Two Trade,['Cobalt House Level 2 Notabile Road Mriehel Birkirkara BKR 3000 Malta'],['onetwotrade.com'],,,trading name Up and Down Marketing Limited,,,,2019-10-24,"[{'otherInformationAccountNames': 'Up & Down Marketing Ltd', 'otherInformationAccountNumbers': '40021477261', 'otherInformationAccountBanks': 'Bank of Valletta PLC'}, {'otherInformationAccountNames': 'Up & Down Marketing Ltd', 'otherInformationAccountNumbers': '40019456061', 'otherInformationAccountBanks': 'Bank of Valletta PLC'}, {'otherInformationAccountNames': 'Up & Down Marketing Ltd', 'otherInformationAccountNumbers': '40021587258', 'otherInformationAccountBanks': 'Bank of Valletta PLC'}]",[]
816,Unlicensed (Legacy),OneCoin Limited,"['OneCoin Limited 6a ""P. R. Slaveykov"" Sqr. Sofia 1000 Republic of Bulgaria']",['www.onecoin.eu'],['office@onecoin.eu'],,,,,,2019-08-23,[],[]
817,Unlicensed (Legacy),OneLife Network Limited,['2118 Guava Street Belama Phase I Belize City Belize'],['www.onelife.eu'],['press@onelife.eu'],,,,,,2019-08-23,[],[]
818,Unlicensed (Legacy),Online Classic Company,['415 North Camden Drive Beverley Hills California USA 90210'],,,,,,,,2019-08-23,[],[]
819,Unlicensed (Legacy),Onyx Acquisitions,['Tower 42  25 Old Broad Street London EC2N 1HQ UK'],,['info@onyxacquisitions.com'],,,,,,2019-08-23,[],[]
820,Unlicensed (Legacy),Oppenheimer International,['4 Royal Mint Court London EC3N 4HJ UK'],['www.oppenheimerinternational.com'],,"['(44) 20 797 77726 ', 'fax (44) 20 797 77727']",,,,,2019-08-23,[],[]
821,Unlicensed (Legacy),Oppenheimer Lloyd Consultants,['1 11 3 Marunouchi Cgiyoda Ku Tokyo Japan 1006208'],['www.oppenheimerlloyd.com'],,"['813 457 89054 ', 'fax 813 457 89245']",,,,,2019-08-23,[],[]
822,Unlicensed (Legacy),Oproserv Limited t/a 365BinaryOption,['2 Old Brompton Road South Kensington London SW7 3DQ UK'],['www.365binaryoption.com/'],,"['+44 20 3670 1522 ', '02 9099 5722']",,,,,2019-08-23,"[{'otherInformationAccountNames': 'Paymentworld Europe Ltd', 'otherInformationAccountNumbers': 'DE51 2004 0000 0628 3923 11', 'otherInformationAccountBanks': 'Commerzbank AG'}]",[]
823,Unlicensed (Legacy),Optimum Resources International Limited,"['25 Westbourne Grove London United Kingdom', 'Claims to have offices in New York and Tokyo', 'Uses transfer agent: First Independent Resources Capital Limited (Incorporated in Antigua) 58 Queensway  Suite 17  London England  W2 3RW United Kingdom']",,,,,,,,2019-08-23,[],[]
824,Unlicensed (Legacy),Option 500,['20-22 Wenlock Road  London  England  N1 7GU'],['www.option500.com'],['support@option500.com'],['+44 2036958189'],,,,,2019-08-23,[],[]
825,Unlicensed (Legacy),Option Financial Markets (OptionFM),"[""20th Floor  Central Tower  28 Queen's Road  Central Hong Hong""]",['https://option.fm'],,"['(Hong Kong) +852 5808 7221', '(United Kingdom) +44 2070 973 264', '(Australia) +61 2 8038 5014']",,,,,2019-08-23,"[{'otherInformationAccountNames': 'Beneficiary name: B.O. Technologies Limited', 'otherInformationAccountNumbers': 'BG18UNCR 70001521628561', 'otherInformationAccountBanks': 'Unicredit Bulbank AD'}]",[]
826,Unlicensed (Legacy),OptionRally,['Trading name of LFG Investments 10 Collyer Quay  Level 40  Ocean Financial Centre  Singapore 049315'],['www.optionrally.com'],['sg.contact@optionrally.com'],['+65-3-1080750'],,,,,2019-10-24,[],[]
827,Unlicensed (Legacy),Options and Futures Eastern Trading Ltd,"[""Hing Wai Building 36 Queen's Road Central Hong Kong""]",['www.ofeastern.com'],['contact@ofeastern.com'],"['852 3050 9031 ', 'fax 852 3015 3813']",,['OF Eastern'],,,2019-08-23,[],[]
828,Unlicensed (Legacy),Options and Futures Trade Commission,,['www.oftc.hk'],,,,,,,2019-08-23,[],[]
829,Unlicensed (Legacy),Options Extreme LLC,"['10th Floor 131 West 33rd St Manhattan New York NY 10120', '110A Golden Tower Building 316-320 Des Vouex Road Central Hong Kong']",['www.options-extreme.com'],['admin@options-extreme.com'],"['1 212 359 1661 ', '1 212 359 4602']",,,,,2019-08-23,[],[]
830,Unlicensed (Legacy),OptionsXO,"['Omni Capital Ltd: Ajeltake Road  Ajeltake Island  Majuro MH96960 Marshall Islands ', 'Omni Global Solutions SRL: Bucharest  Third sector  17 BABA NOVAC street  Romania']",['www.optionsxo.com'],,,,"['Omni Capital Ltd', 'Omni Global Solutions SRL']",,,2019-08-23,"[{'otherInformationAccountNames': 'Vega Marketing Ltd', 'otherInformationAccountNumbers': 'CZ7820100000002000969005', 'otherInformationAccountBanks': 'Fio Banka AS Prague'}]",[]
831,Unlicensed (Legacy),Oracle Mergers,['708 3rd Avenue New York  NY. 10017  United States of America'],['www.ora-mer.com'],,"['+1-646-506-4975 ', 'fax +1-646-417-5664']",,,,,2019-08-23,"[{'otherInformationAccountNames': 'FCM Enterprise Pte Ltd', 'otherInformationAccountNumbers': '010-6882-155', 'otherInformationAccountBanks': 'Standard Chartered Bank'}]",[]
832,Unlicensed (Legacy),Oracle Stone Limited,['20-22 Wenlock Road  England N1 7GU'],['https://porterfinance.com'],,,,['Porter Finance'],,,2019-08-23,[],[]
833,Unlicensed (Legacy),Orion Solutions SRL,['29 Erou Iancu Nicolae Str. Voluntari  Romania'],['www.primecfds.com/'],['support@primecfds.com'],['+44-1138300608'],,"['Prime CFDs ', 'Wmoption']",,,2019-08-23,[],[]
834,Unlicensed (Legacy),Osborn & McKenzie International (O&MI),['20th Floor  10 Upper Bank Street  Canary Whart  London E14 58 UK'],['www.oandmintl.com'],['clientservices@oandmintl.com'],['fax +44-20-31630802'],,,,,2019-08-23,"[{'otherInformationAccountNames': 'Fusephase Ltd', 'otherInformationAccountNumbers': '787-531250-883', 'otherInformationAccountBanks': 'HANG SENG BANK HK'}]",[]
835,Unlicensed (Legacy),Osiris Asia Pacific,"['Level 23  CP Tower 313 Silom Road Bangrak  Bangkok 10500  Thailand', 'Other offices or mail addresses in Hong Kong  Singapore  Malaysia and Germany.']",,,,,,,,2019-08-23,[],[]
836,Unlicensed (Legacy),Overseas Holding Compensation Commission,,,,,No other information.,,,,2019-08-23,[],[]
837,Unlicensed (Legacy),Overseas Management Group Inc,['1054-356 Centre Street Toronto  Ontario L4J 8E5 Canada'],,,"['1 905 709 1899 ', 'fax 1 905 248 3305']",,,,,2019-08-23,[],[]
838,Unlicensed (Legacy),Oxford Financial Services,['330 Glen Osmond Road Myrtle Bank SA 5064'],['www.oxfordfinanceservices.com'],"['info@oxfordfinanceservices.com', 'admin@oxfordloans.org']",['08 7130 3043'],,,,2018-09-14,2021-12-14,[],[]
839,Unlicensed (Legacy),Pace Capital Corp,['950 Third Ave New York NY 10022'],['www.pace-capital.com'],['info @pace-capital.com'],"['1 212 401 6204 ', 'fax 1 212 401 6207']",Note: this company is not connected and should not be confused with the legitimate firm Pace Capital located at 950 Third Ave New York NY 10022 Ph 212-832-2441 SEC#8-30931 CRD# 15766,,,,2019-08-23,[],[]
840,Unlicensed (Legacy),Pacific Alliances,['Building 1 F 6-3-8 Roppongi  Minato-ku Tokyo Japan'],['www.thepacificalliances.com'],['info@thepacificalliances.com'],['+ 81 345 906 391'],,,,,2019-08-23,"[{'otherInformationAccountNames': 'Merc Zone Trade Limited', 'otherInformationAccountNumbers': '787-531391-883', 'otherInformationAccountBanks': 'Hang Seng Bank Hong Kong'}]",[]
841,Unlicensed (Legacy),Pacific Charted Assets,['Graymark Building 8 Floor 30 West 36th St New York 10018 USA'],,,['1 646 417 5206'],,,,,2019-08-23,[],[]
842,Unlicensed (Legacy),Pacific Energy Exchange,['Suites 15-18 Floor 3 Area 6 Wheelock House Pedder St Queens Road Central Central District Hong Kong'],['www.pacificenergyexchange.com'],['legal@pacificenergyexchange.com'],,,,,,2019-08-23,[],[]
843,Unlicensed (Legacy),Pacific Global Advisors,['27F Bank Of America Tower 12 Harcourt Road Central Hong Kong'],['www.pacificglobaladvisors.com'],,"['852 3905 8454 ', '852 8777 9090 ', 'fax 852 3905 8455']",Note: this company is not connected and should not be confused with the legitimate firm&nbsp;Pacific Global Advisors LLC &nbsp;277 Park Avenue  Floor 9 &nbsp;New York  New York 10172 &nbsp;(212) 834-4594 &nbsp;pga-contact@pacificga.com &nbsp;www.PacificGlobalAdvisors.com,,,,2019-08-23,[],[]
844,Unlicensed (Legacy),Pacific Rim Wealth Management,['16 Westlands Road HONG KONG'],['www.pacificrimwealthmgt.com'],['info@pacificrimwealthmgt.com'],"['852 9573 7922 (852 9573 7972) ', 'fax 852 3016 2052']",,,,,2019-08-23,[],[]
845,Unlicensed (Legacy),Pacific Sunrise UK Ltd,['18 King William Street London Greater London EC4N 7BP United Kingdom'],['www.cfdstocks.com'],['support@cfdStocks.com'],"['+64-9-9402705', '+47-21-984420', '+44-2036709909', '+44-2036709880', '+43-134-69999007']",,['CFD Stocks and Aaoption'],,,2019-08-23,"[{'otherInformationAccountNames': 'Mayzus Financial Services Ltd', 'otherInformationAccountNumbers': '3681972', 'otherInformationAccountBanks': 'Ceska Sporitelna a.s.'}, {'otherInformationAccountNames': 'Sioo Industrial Co Limited', 'otherInformationAccountNumbers': '817431927838', 'otherInformationAccountBanks': 'HSBC Bank'}, {'otherInformationAccountNames': 'RIF Life Science Limited', 'otherInformationAccountNumbers': '023100258838', 'otherInformationAccountBanks': 'HSBC BANK'}]",[]
846,Unlicensed (Legacy),Palladium Cathay Intermediaries,['1266 Nanjing Rd Shanghai 2000040 CHINA'],['www.palladiumcathay.com'],,['86 21 6103 851'],,,,,2019-08-23,[],[]
847,Unlicensed (Legacy),Pan Euro Financial SA,['10  Cours de Rive CP3237-CH 1211 Geneva  Switzerland'],['www.paneurofinancial.com'],,"['(41) 22 747 7920 ', 'fax (41) 22 747 7923']",,,,,2019-08-23,[],[]
848,Unlicensed (Legacy),Panmure Gordon & Co,['Tote House  8-12 New Bridge Street City of London  EC4V 6AL'],,,"['44 207 411 9988 ', 'fax 44 207 411 9989']",Note: this company is not connected and should not be confused with Panmure Gordon Co plc authorised and registered in the UK as per Sec 21 of the FSMA 2000 at the following address: Panmure Gordon &amp; Co. plc  155 Moorgate  London  EC2M 6XB  www.panmuregordon.com,,,,2019-08-23,[],[]
849,Unlicensed (Legacy),Paradigm Resources Ltd,['Mansell 45556 Mansell Road Suite 625 Atlanta Georgia GA 30022 United States States of America'],,,"['1 678 202 1204 ', 'fax 1 678 202 1205']",,,,,2019-08-23,[],[]
850,Unlicensed (Legacy),Parker Jennings,['2117 Buffalo Road Rochester  NY  14624'],['www.Parker.Jennings.com'],,"['1 585 247 6970 ', 'fax 1 212 504 3052']",,,,,2019-08-23,[],[]
851,Unlicensed (Legacy),Parker Stanford,['24th Floor One Canada Place Canary Wharf London E14 5DY UK'],['www.parkerstandford.com'],,"['(44) 207 900 2666 ', 'fax (44) 207 900 2215']",,,,,2019-08-23,[],[]
852,Unlicensed (Legacy),Parkfield Trading,['35 JLN Teratai Taman Johor Jaya 81100 Johor'],,,,,,,,2019-08-23,[],[]
853,Unlicensed (Legacy),Parnassus Group LLC,,['www.parnassusgroupllc.com'],,['857-957-1708'],,,,,2019-08-23,[],[]
854,Unlicensed (Legacy),Parry Thorsten Partners,['Bremgarten Strasse 71  CH-8003 Zurich  Switzerland'],['www.parrythorsten.com'],['info@parrythorsten.com'],"['+41 44 508 7108 ', 'fax +41 43 508 1304']",,,,,2019-08-23,[],[]
855,Unlicensed (Legacy),Patcham Investment Funds,['Equinoxe House Marina Village Malahide Ireland'],['http://patchaminvestmentfunds.com'],,['+448440985005'],,,,,2019-08-23,[],[]
856,Unlicensed (Legacy),Patience Providence,"['14 Canton Road Tsim Sha Tsui Hong Kong', '22 quai du seujet  Geneva Switzerland']",,,,,,,,2019-08-23,"[{'otherInformationAccountNames': 'BDK Ltd', 'otherInformationAccountNumbers': '744183797901', 'otherInformationAccountBanks': 'China Citic Bank International Ltd'}, {'otherInformationAccountNames': 'Five Oaks Ltd', 'otherInformationAccountNumbers': '744183907606  744183907601 and 744183907600', 'otherInformationAccountBanks': 'China Citic Bank International Ltd'}]",[]
857,Unlicensed (Legacy),Patterson Harvey,,['www.pattersonharvey.com'],['mail@pattersonharvey.com'],['1800 988 224'],,,,,2019-08-23,[],[]
858,Unlicensed (Legacy),Paulson Management LLC,['1251 Avenue of the Americas New York  NY 10022'],['www.paulsonmanagement.com'],['clientservices@paulsonmanagement.com'],,,,,,2019-08-23,"[{'otherInformationAccountNames': 'R and G Partners Ltd', 'otherInformationAccountNumbers': '774-310403-883', 'otherInformationAccountBanks': 'Hang Seng Bank Limited'}]",[]
859,Unlicensed (Legacy),PCA Management Trust LLC,"['25 Aphrodite St PO Box 26025 1666 Nicosia Cyprus ', 'Alternate address details at: 24 De Castrol Road Town Tortola British Virgin Islands']",,,"['1 8000 881 3202 ', 'fax 1 800 380 3395']",ASIC has received reports that this company is acting as a broker for Biomaxx Systems  Inc and claiming to be located in Cyprus,,,,2019-08-23,[],[]
860,Unlicensed (Legacy),Peak Commodities,['4-2-2 Nihonbashi-Hongokucho  Chuo-ku Tokyo  Japan'],['www.peakcommodities.com'],['contact@peakcommodities.com'],['81 34578-9277'],,,,,2019-08-23,[],[]
861,Unlicensed (Legacy),Peak Power Direct Limited,['37/F Tower Two Lippo Centre 89 Queensway Admiralty HONG KONG'],['www.peakpowerdirect.com'],,,,,,,2019-08-23,[],[]
862,Unlicensed (Legacy),Pearl Asia Holdings Limited,['32 Des Voeux Road Central  Hong Kong'],['www.pearlasiaholdingslimited.com'],,['+1-8888-071806'],,,,,2019-08-23,[],[]
863,Unlicensed (Legacy),Pearson Investments / Pearson Investments LLC,['Billion Plaza II Floor 23 10 Cheung Yue Street Kowloon Hong Kong Sar China'],['www.pearson-investments.com'],,['+852 5808 4334'],,,,,2019-08-23,"[{'otherInformationAccountNames': 'Consortium Solutions International LLC', 'otherInformationAccountNumbers': '1012245100', 'otherInformationAccountBanks': 'Florida Community Bank'}]",[]
864,Unlicensed (Legacy),Pendelton and Associates (Japan),"[""Hanako Building'34F 11th Floor 6-14-17 Showa Dori Ginza District Tokyo 104-0061 Japan""]",['www.pendeltonandassociates.com'],,['81 33242 6165'],,,,,2019-08-23,[],[]
865,Unlicensed (Legacy),Perrin Holden & Davenport Capital Corporation (PHD),['5 Hanover Square New York NY 10004'],['www.phdc.com info@phdc.com'],,['212 269 3500'],,,,,2019-08-23,[],[]
866,Unlicensed (Legacy),Peter Snider Consulting,['89 Broadgate London  EC4M 2DE'],['www.petersniderconsulting.co.uk/index.html'],['Info@petersniderconsulting.com'],"['447024046174 ', 'fax 447024046174']",,,,,2019-08-23,[],[]
867,Unlicensed (Legacy),Petro Technologies Ltd,['4F  Section 1  Tunhuna South Road Taipei  Taiwan  R.O.C'],,,"['886 2 2577 3165 ', 'fax  886 2 2577 4157']",,,,,2019-08-23,[],[]
868,Unlicensed (Legacy),Pfeiffer Galland Limited,['Plaza Mashill Level 21 Jl. Jendral Sudirman Kav. 25 Jakata 12920  Indonesia'],,,,,,,,2019-08-23,[],[]
869,Unlicensed (Legacy),PFM Trading,['New World Centre No 6009 Yitian Road  Futian District  22nd Floor Shenzen Guangdong China 518035'],['pfm-trading.com'],['contact-us@pfm-trading.com'],,,,,,2019-08-23,"[{'otherInformationAccountNames': 'Innovative Network Limited', 'otherInformationAccountNumbers': '817741994838', 'otherInformationAccountBanks': 'HSBC HK'}]",[]
870,Unlicensed (Legacy),PHG Trading,['Level 21  360 Collins Street  Melbourne VIC 3000'],['www.phgtrading.com'],['info@phgtrading.com'],"['1800 558 017 ', '1800 988 244']",,,,,2019-08-23,[],[]
871,Unlicensed (Legacy),Phoenix Alliance International,['Palacio Tower Level 9 Omotesando 3-6-7 Kita Aoyama 107-0061 Tokyo Japan'],['www.phoenixallianceintl.com'],,"['813 5404 3569 ', 'fax 813 4496 4118']",,,,,2019-08-23,[],[]
872,Unlicensed (Legacy),Phoenix Creek Capital,['Fenchurch Street London EC4 United Kingdom'],['www.phoenixcreekcapital.com'],['sales@phoenixcreekcapital.com'],['+44 2036038976'],,,,,2019-08-23,"[{'otherInformationAccountNames': 'SMD Partnership Limited', 'otherInformationAccountNumbers': '701530026662', 'otherInformationAccountBanks': 'INDUSTRIAL AND COMMERCIAL BANK OF CHINA ASIA'}, {'otherInformationAccountNames': 'Drake Trading Ltd', 'otherInformationAccountNumbers': '112517511838', 'otherInformationAccountBanks': 'HSBC'}]",[]
873,Unlicensed (Legacy),Phoenix International Limited,['7B President Tower 971  973 Ploenchit Road  Kwaeng Lumpini  Khet Pathumwan  Bangkok  10330  Thailand'],,,,,,,,2019-08-23,[],[]
874,Unlicensed (Legacy),Phoenix Private Equity LLC,['2375 E Camelback Road Phoenix AZ 85016'],['www.phoenixpe.com'],['p.graham@phoenixpe.com'],"['+1 602 732 4459', 'fax +1 602 325 0118']",,,,,2019-08-23,[],[]
875,Unlicensed (Legacy),Pinnacle Group Limited,['14001 N. Dallas Parkway Suite 1200 Dallas  Texas 75240 USA'],,['contact@pinnaclegrouplimited.com'],"['1 713 300 3961 ', 'fax 1 713 300 3962']",,,,,2019-08-23,[],[]
876,Unlicensed (Legacy),Pioneer Equity Acquisition,['Makino Building 8-1 Hatchobori 2-chome Chuo-ku Tokyo 104-0032 Japan'],['https://www.pioneerequityacquisition.com/'],['admin@pioneerequityacquistion.com'],['+81 (345) 400-881'],,,,,2019-08-23,"[{'otherInformationAccountNames': 'LNT International Trading Company', 'otherInformationAccountNumbers': '788648529', 'otherInformationAccountBanks': 'DBS Bank (Hong Kong) Limited'}]",[]
877,Unlicensed (Legacy),Platinum Pacific Ltd / Platinum Investment Holding Corporation,['Thailand  NY  USA'],,,"['(662) 627 9062 ', 'fax 1 413 812 8805']",,,,,2019-08-23,[],[]
878,Unlicensed (Legacy),PlusOption,"['13 Stejarisului StreetSection 4 BucharestRomania ', '78 York St London  W1H1DPP:']",['https://www.plusoption.com/'],['support@plusoption.com'],"['+447874406865', '+61291192982']",,['Redfield Markets'],,,2019-10-24,[],[]
879,Unlicensed (Legacy),Plustocks,['8 Baden Place Crosby Row  SE1 1YW London UKP:'],['www.plustocks.com'],,['+442038072319'],,,,,2019-08-23,[],[]
880,Unlicensed (Legacy),Plutus Private Equity LLC,['Plutus Private Equity LLC 1 Mystic View Road Boston MA 02149'],['www.plutuspe.com'],['contact@plutuspe.com'],"['1 617 517 3046 ', 'fax 1 617 249 0766']",,,,,2019-08-23,[],[]
881,Unlicensed (Legacy),Pointe Capital Partners Inc,['360 East 57th Street  New York  NY 10022'],['www.pointecp.com'],['info@pointecp.com'],['+1 917 382 3959'],,,,,2019-08-23,"[{'otherInformationAccountNames': 'Soteria Trading', 'otherInformationAccountNumbers': '581200007413', 'otherInformationAccountBanks': 'Rizal Commercial Banking Corp'}]",[]
882,Unlicensed (Legacy),Polaris Venture Partners,['31st Floor Jin Mao Tower 88 Shi JI Avenue Pudong Shanghai 200120 China'],['www.polarisventure.com'],['info@polarisventure.com'],"['86 21 2890 9098 ', 'fax 86 21 2890 9140']",,,,,2019-08-23,[],[]
883,Unlicensed (Legacy),Porter Finance,['20-22 Wenlock Road  England N1 7GU'],['https://porterfinance.com'],,,,['Oracle Stone Limited'],,,2019-08-23,[],[]
884,Unlicensed (Legacy),Powell Financial Services,['1399 Hudson Street  3rd Floor Manhattan NY B99 Hudson Street  3rd Floor Manhattan NY 10013'],['www.powellfinancials.com'],,['(917) 338-5258'],,,,,2019-08-23,[],[]
885,Unlicensed (Legacy),Powell McDougall,['Harcourt Centre Harcourt Road Dublin Ireland'],,,,,,,,2019-08-23,[],[]
886,Unlicensed (Legacy),Power Point Capital,['Power Point International 1-5-1 Marunouchi Chiyoda-ku Tokyo 100-6520 Japan'],['http://www.powerpointcapital.com'],,,,,,,2019-08-23,[],[]
887,Unlicensed (Legacy),Powerhouse Corporate Finance,"['9th Floor Yokokana Bldg 17-27 Shinkana Chome Chuo-ku 104-0033 Tokyo Japan', '7th Floor Chiyoda Building Bekkan 6-1-2 Nishitemma Kita-ku 530-0047 Osaka Japan']",['www.powerhousecorpfinance.com'],['administration@powerhousecorpfinance.com'],"['81 6 4560 4052 ', 'fax 81 6 7635 4892']",,,,,2019-08-23,[],[]
888,Unlicensed (Legacy),Pratacom,['123 South Wacker Drive Chicago IL 60654 USA'],['www.pratacom.com'],"['accounts@pratacom.com  ', 'contact@pratacom.com']","['1 312 3795968 ', 'fax 1 312 277 3512']",,,,,2019-08-23,[],[]
889,Unlicensed (Legacy),Prava Law Group LLC,['6342 Pulaski Road Chicago Il 60629 Ph 312 380 1239'],['www.pravalaw.com'],,,,,,,2019-08-23,[],[]
890,Unlicensed (Legacy),Premier eFinance,"[""Central Centre  99 Queen's Road Central  Hong Kong""]",['www.premier-efinance.com'],"['info@premier-efinance.com ', 'customerservice@premier-efinance.com ', 'trading@premier-efinance.com ', 'support@premier-efinance.com ', 'Andrew.Morgan@premier-efinance.com']",,,,,,2019-08-23,[],[]
891,Unlicensed (Legacy),Premier Partners Inc,['60 Wall St New York NY  10005'],['www.premierpartnersinc.com'],['info@premierpartnersinc.com'],"['1 646 530 8500 ', 'fax 1 646 514 9455']",,,,,2019-08-23,[],[]
892,Unlicensed (Legacy),Premiere Asset Management (US  European & Asian),"['Faneuil Hall Marketplace Financial District Boston  MA 02109-1650 USA ', 'Rua Tomas de Fonseca Torre G 1600 Lisbon Portugal ', 'Temasek Boulevard #18-00 Suntec Tower Five 038987 Singapore']",['www.premiereassetmanagement.com'],"['contact@us.premiereassetmanagement.com  ', 'contact@pt.premiereassetmanagement', 'contact@sg.premiereassetmanagement.com']","['1 (617) 861-3992  ', '1 (617) 517-0299 ', '351 21 145 1048 ', 'fax 351 21 145 1049 ', '65 6828 9964 ', 'fax 65 6491 5180']",,,,,2019-08-23,[],[]
893,Unlicensed (Legacy),Prestige Group Ltd,['National Network Building 744 Broad Street 18th Floor Newark Jersey NJ 07102 USA'],['www.prestigegrp.us'],,"['1 866 379 6091 ', 'fax 1 973 741 2447']",,,,,2019-08-23,[],[]
894,Unlicensed (Legacy),Prestige Private Wealth,,['www.prestigeprivatewealth.com'],,,,,,,2019-08-23,[],[]
895,Unlicensed (Legacy),Pretium Ventures,"['Wing on Plaza  62 Mody Road  Kowloon  Hong Kong', 'Bahrain Financial Harbour  Faisal Highway  Manama  Bahrain', '228 Hamilton Avenue  Palo Alto  California  USA  94301']",['www.pretiumventures.com'],['tips@pretiumventures.com'],"['852 5808 1291', 'fax 852 3006 5327', '1 650 618 9806', 'fax 1 650 249 4145', '973 1619 9856']",,,,,2019-08-23,[],[]
896,Unlicensed (Legacy),Price & Partners Consultants,['5-7C Duke Wellington House 14-21 Wellington Street  Central District  Hong Kong'],['www.priceandpartnerconsultants.com'],,['852 317 50956'],,,,,2019-08-23,[],[]
897,Unlicensed (Legacy),Price Foley,['York Centre  Suite 930 10235 West Little York Road Houston  Texas  77040 USA'],['www.pricefoley.com'],,"['(1) 832 201 7561 ', 'fax (1) 832 201 7566']",,,,,2019-08-23,[],[]
898,Unlicensed (Legacy),Price Warner Company Ltd,"['Based in British Virgin Islands ', '8th Floor  Udom Vidhva Building  956 Rama IV Road  Silom Bangrak  Bangkok 10500  Thailand', '83andIFS Chambers  Road Town  Tortola  BVI.']",,,"['(662) 636 2780/81 ', 'fax (662) 636 2782']",Information suggests that Price Warner took over the operation of Muller and Sons  which took over Dukes Company Securities Inc  which took over Knowles Sachs Company Inc.,,,,2019-08-23,[],[]
899,Unlicensed (Legacy),Prime CFDs,['29 Erou Iancu Nicolae Str. Voluntari  Romania'],['www.primecfds.com/'],['support@primecfds.com'],['+44-1138300608'],formerly known as WMoption owned by Orion Solutions SRL,,,,2019-08-23,[],[]
900,Unlicensed (Legacy),Prime Global Inc,['55 Madison Avenue New York NY 10022 USA'],['www.pglobalinc.com'],,"['1 646 365 3164 ', 'fax 1 646 365 3182']",,,,,2019-08-23,[],[]
901,Unlicensed (Legacy),PrimeFundFX,['Badenerstrasse 329 CH-8003 Zurich  Switzerland'],['https://primefundfx.com/'],['info@primefundfx.com/'],['+41 44 586 2822'],,,,,2019-08-23,[],[]
902,Unlicensed (Legacy),Private Lending Pty Ltd,,,['allloans@outlook.com'],['(02) 8005 6213'],Contact Name:Edward Brown,,,,2019-08-23,[],[]
903,Unlicensed (Legacy),Private Trading Acquisitions,['c/- Citizens Bank Centre Level 15  919 Market Street Wilmington Delaware USA'],['http://www.private-trading.com'],,"['1 302 3804038 ', 'fax 1 302 261 7805']",,,,,2019-08-23,[],[]
904,Unlicensed (Legacy),Private Venture Capital Group,['8E  21F  Office Building B  Jing Gang City Plaza 3A Shi Li Pu  Chao Yang District Beijing 100025 China'],['http://www.privatecvgroup.com'],['info@privatecvgroup.com'],['-852 3020 7309'],,,,,2019-08-23,[],[]
905,Unlicensed (Legacy),PrivateFX,,['http://privatefxaccount.com/'],['accounts@privatefxaccount.com'],,,,,,2019-08-23,[],[]
906,Unlicensed (Legacy),Pro Capital Asset Management,['PCA Management Trust LLC 25 Aphrodite Street PO Box 26025 1666 Nicosia CYPRUS'],,,"['1 800 881 3202 ', 'fax 1 800 380 3395 ', '357 22 503 814 ', 'fax 357 22 503 714']",,,,,2019-08-23,[],[]
907,Unlicensed (Legacy),Progress Investments LLC,,['http://progress-investments.com'],['info@progress-investments.com'],"['1(305) 675 2497 ', 'fax 1(305) 834 4053']",Note: *This entity is passing off as a legitimate entity of the same name and is therefore not connected  and should not be confused in any way with  the following FINRA registered US firm: Progress Investments LLC  (www.progresswealthmanagement.com) Ph: 305 779 9890  701 Brickell Avenue  Suite 2550  Miami FL 33131. CRD: 139981  SEC 8-67273.,,,,2019-08-23,[],[]
908,Unlicensed (Legacy),Provident International Asset Management,['Lexham Services Center Lexham Gardens London W6 8JQ UK'],['www.providentuk.com'],,"['(44) 20 8485 8180 ', 'fax (44) 20 8485 8182']",,,,,2019-08-23,[],[]
909,Unlicensed (Legacy),Prowex Solutions & Services Corporation (trading as Prowexinvest),['11 Bellerive Strasse CH-8008 Zurich  Switzerland'],['http://prowex-invest.com/'],['contact_sw@prowex-invest.com'],['+41 43 544 4476'],,['Prowexinvest'],,,2019-08-23,[],[]
910,Unlicensed (Legacy),Prowexinvest,['11 Bellerive Strasse CH-8008 Zurich  Switzerland'],['http://prowex-invest.com/'],['contact_sw@prowex-invest.com'],['+41 43 544 4476'],,['Prowex Solutions Services Corporation'],,,2019-08-23,[],[]
911,Unlicensed (Legacy),PRU Structured Assets,['One New York Plaza New York  New York 10292'],['http://prustructuredassets.com/'],"['info@psstructuredassets.com ', 'account@psstructuredassets.com', 'j.stephenson@psstructuredassets.com']",['(917) 283-2979'],Note: This entity is not connected and should not be confused with Prudential Financial Inc or its subsidiary  Prudential Securities Structured Assets (PSSA),,,,2019-08-23,"[{'otherInformationAccountNames': 'Hanwua Trade Limited', 'otherInformationAccountNumbers': '36939 1487 883', 'otherInformationAccountBanks': 'Hang Seng Bank'}]",[]
